method_name,seed,num_GPUs,K,n_obs,n_dim,setup_time,initialization_time,computation_time,n_iter
distributedFuzzyCMeans,123128,8,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,15,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,15,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,15,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,15,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,15,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,15,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,15,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,15,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,15,25000000,5,20.833060264587402,2.904914379119873,15.687012910842896,20
distributedFuzzyCMeans,123128,5,15,25000000,5,5.334729909896851,1.759833812713623,11.148567914962769,20
distributedKMeans,123128,6,15,25000000,5,24.954962968826294,3.2267398834228516,15.512521982192993,20
distributedFuzzyCMeans,123128,6,15,25000000,5,6.359675645828247,1.9281079769134521,9.78179144859314,20
distributedKMeans,123128,7,15,25000000,5,28.546228170394897,3.549564838409424,15.793457984924316,20
distributedFuzzyCMeans,123128,7,15,25000000,5,7.250552415847778,1.928274154663086,8.99764609336853,20
distributedKMeans,123128,8,15,25000000,5,33.02155947685242,3.965532064437866,16.206723928451538,20
distributedFuzzyCMeans,123128,8,15,25000000,5,8.323261976242065,2.0883822441101074,8.480902433395386,20
distributedKMeans,123128,1,12,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,12,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,12,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,12,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,12,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,12,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,12,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,12,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,12,25000000,5,17.937431812286377,2.609973907470703,13.212541580200195,20
distributedFuzzyCMeans,123128,5,12,25000000,5,5.423814058303833,1.8246502876281738,9.208418369293213,20
distributedKMeans,123128,6,12,25000000,5,21.495734453201294,3.091111421585083,13.342628717422485,20
distributedFuzzyCMeans,123128,6,12,25000000,5,6.339305639266968,1.8909850120544434,8.24779200553894,20
distributedKMeans,123128,7,12,25000000,5,12.412405252456665,1.9539446830749512,8.717042446136475,20
distributedFuzzyCMeans,123128,7,12,25000000,5,7.392234563827515,1.9138939380645752,7.612023115158081,20
distributedKMeans,123128,8,12,25000000,5,14.252199649810791,2.1332755088806152,8.833873271942139,20
distributedFuzzyCMeans,123128,8,12,25000000,5,4.110278367996216,1.3923499584197998,6.098054885864258,20
distributedKMeans,123128,1,9,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,9,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,9,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,9,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,9,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,9,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,9,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,9,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,9,25000000,5,14.925469160079956,2.615755081176758,10.868971347808838,20
distributedFuzzyCMeans,123128,5,9,25000000,5,5.368383884429932,1.8038222789764404,7.424925327301025,20
distributedKMeans,123128,6,9,25000000,5,8.96070408821106,1.6115598678588867,7.388558626174927,20
distributedFuzzyCMeans,123128,6,9,25000000,5,3.1286184787750244,1.2791650295257568,5.749981164932251,20
distributedKMeans,123128,7,9,25000000,5,10.279127359390259,1.9462440013885498,7.205418348312378,20
distributedFuzzyCMeans,123128,7,9,25000000,5,3.7458837032318115,1.5693426132202148,5.2369818687438965,20
distributedKMeans,123128,8,9,25000000,5,12.019510269165039,3.3300321102142334,7.280099391937256,20
distributedFuzzyCMeans,123128,8,9,25000000,5,2.0542969703674316,0.8755002021789551,4.20522403717041,20
distributedKMeans,123128,1,6,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,6,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,6,25000000,5,2.706904649734497,1.1030981540679932,9.822796821594238,20
distributedFuzzyCMeans,123128,2,6,25000000,5,1.2858400344848633,1.1008498668670654,9.616595268249512,20
